name,year
100% Bran,1934
100% Natural Bran,NaN
All-Bran,1916
All-Bran with Extra Fiber,NaN
Almond Delight,1986
Apple Cinnamon Cheerios,1989
Apple Jacks,1965
Basic 4,1991
Bran Chex,1978
Bran Flakes,1915
Cap'n'Crunch,1963
Cheerios,1941
Cinnamon Toast Crunch,1984
Clusters,1987
Cocoa Puffs,1956
Corn Chex,1959
Corn Flakes,1984
Corn Pops,1950
Count Chocula,1971
Cracklin' Oat Bran,1977
Cream of Wheat(Quick),1893
Crispix,1983
Crispy Wheat and Raisins,1995
Double Chex,1984
Froot Loops,1963
Frosted Flakes,1952
Frosted Mini-Wheats,1969
Fruit & Fiber Dates; Walnuts; and Oats,1982
Fruitful Bran,1983
Fruity Pebbles,1971
Golden Crisp,1948
Golden Grahams,1976
Grape Nuts Flakes,NaN
Grape-Nuts,1897
Great Grains Pecan,1992
Honey Graham Ohs,1980
Honey Nut Cheerios,1979
Honey-comb,1965
Just Right Crunchy Nuggets,1985
Just Right Fruit & Nut,NaN
Kix,1937
Life,1961
Lucky Charms,1964
Maypo,1951
Muesli Raisins; Dates; & Almonds,NaN
Muesli Raisins; Peaches; & Pecans,NaN
Mueslix Crispy Blend,NaN
Multi-Grain Cheerios,1992
Nut&Honey Crunch,1987
Nutri-Grain Almond-Raisin,1985
Nutri-grain Wheat,1981
Oatmeal Raisin Crisp,NaN
Post Nat. Raisin Bran,1926
Product 19,1967
Puffed Rice,1904
Puffed Wheat,1909
Quaker Oat Squares,1987
Quaker Oatmeal,1885
Raisin Bran,1943
Raisin Nut Bran,1987
Raisin Squares,1982
Rice Chex,1950
Rice Krispies,1928
Shredded Wheat,1893
Shredded Wheat'n'Bran,1946
Shredded Wheat spoon size,1994
Smacks,1953
Special K,1955
Strawberry Fruit Wheats,1986
Total Corn Flakes,1961
Total Raisin Bran,1989
Total Whole Grain,1961
Triples,1991
Trix,1954
Wheat Chex,1937
wheaties,1924
Wheaties Honey Gold,1991











































